"","Control1","Control2","Control3","M1","M2","M3"
"Car12",0,0,-1,1,-1,1
"Car13",0,-1,1,0,1,-1
"Car14",1,0,-1,-1,1,0
"Car2",1,1,-1,-1,0,0
"Car3",-1,-1,1,1,0,0
"Car4",-1,-1,0,1,1,0
"Car5a",-1,-1,-1,-1,-1,-1
"Car5b",-1,0,1,1,-1,0
"Car6",0,1,0,-1,-1,-1
"Car7",0,-1,0,-1,1,1
"Car8",0,1,1,-1,-1,0
"Car9",0,0,0,1,-1,-1
"Carm1",-1,0,1,-1,0,1
"Carns1",0,1,-1,0,1,-1
"Cars",-1,1,1,0,-1,0
"Cat",-1,-1,1,0,0,1
"Cbl",-1,0,1,0,-1,1
"Cblb",-1,0,1,-1,0,1
"Cblc",1,1,0,-1,-1,0
"Cblif",0,0,0,0,0,0
"Cbll1",1,0,1,0,-1,-1
"Cbr1",0,-1,-1,1,1,0
"Cbr3",-1,1,-1,0,0,1
"Cbr4",1,-1,0,-1,1,0
"Cbs",0,0,1,1,-1,-1
"Cbx1",0,1,0,1,-1,-1
"Ccn2",0,0,0,0,0,0
"Ccnb1ip1",-1,1,0,1,0,-1
"Cd36",-1,-1,1,0,0,1
"Cd38",0,-1,1,-1,0,1
"Cda",1,0,0,-1,1,-1
"Cdc34",0,-1,-1,1,1,0
"Cdipt",-1,1,-1,1,0,0
"Cdo1",-1,-1,1,1,0,0
"Cds1",1,-1,0,-1,1,0
"Cds2",-1,0,1,0,-1,1
"Cdyl",-1,0,1,1,-1,0
"Cel",1,1,0,-1,-1,0
"Celsr3",0,1,-1,0,1,-1
"Cept1",-1,0,1,1,-1,0
"Cercam",-1,0,1,0,-1,1
"Cerk",0,0,1,-1,-1,1
"Cers1",0,0,-1,-1,1,1
"Cers2",-1,-1,1,0,0,1
"Cers3",1,1,0,-1,0,-1
"Cers4",-1,0,1,1,-1,0
"Cers5",-1,-1,0,1,0,1
"Cers6",-1,0,1,0,-1,1
"Cert1",0,0,0,0,0,0
"Ces1d",0,-1,1,-1,1,0
"Ces2h",-1,-1,-1,-1,-1,-1
"Ces3b",-1,-1,-1,-1,-1,-1
"Ces5a",1,-1,-1,-1,-1,-1
"Cfap410",0,0,0,0,0,0
"Ch25h",-1,-1,0,1,0,1
"Chat",-1,-1,-1,-1,-1,-1
"Chd9",-1,1,1,0,-1,0
"Chdh",-1,1,1,-1,0,0
"Chfr",-1,1,1,0,-1,0
"Chia1",-1,1,-1,-1,-1,-1
"Chil1",-1,1,1,-1,0,0
"Chit1",-1,1,-1,-1,-1,-1
"Chka",0,1,-1,1,-1,0
"Chkb",1,0,-1,-1,1,0
"Chpf",0,1,-1,0,-1,1
"Chpf2",0,1,-1,0,-1,1
"Chpt1",0,-1,-1,1,1,0
"Chst1",-1,-1,0,1,0,1
"Chst10",0,-1,0,1,-1,1
"Chst11",-1,0,1,0,-1,1
"Chst12",-1,0,0,1,-1,1
"Chst13",-1,-1,0,1,0,0
"Chst14",-1,1,0,0,-1,1
"Chst15",0,-1,1,0,-1,1
"Chst2",0,1,-1,1,-1,0
"Chst3",-1,0,1,0,-1,1
"Chst4",-1,-1,-1,-1,-1,-1
"Chst5",-1,0,-1,1,-1,0
"Chst7",-1,0,-1,1,0,1
"Chst8",-1,-1,0,1,1,0
"Chst9",-1,-1,1,0,-1,0
"Chsy1",-1,-1,0,1,1,0
"Chsy3",-1,0,1,0,-1,1
"Cidea",1,-1,0,-1,1,0
"Cinp",-1,0,0,1,-1,1
"Ckb",0,1,-1,-1,1,0
"Ckm",0,-1,0,-1,1,1
"Ckmt1",1,1,0,-1,-1,0
"Ckmt2",1,0,0,-1,1,-1
"Clcf1",-1,0,-1,1,1,0
"Clock",0,0,1,1,-1,-1
"Clps",-1,-1,-1,-1,-1,-1
"Cltrn",-1,-1,-1,-1,-1,-1
"Clybl",1,-1,0,-1,1,0
"Cma1",-1,-1,1,0,0,1
"Cmas",1,1,0,0,-1,-1
"Cmpk1",1,-1,0,0,1,-1
"Cmpk2",1,1,0,-1,-1,0
"Cmtr1",-1,0,1,-1,0,1
"Cmtr2",-1,0,1,0,-1,1
"Cndp1",-1,0,1,1,-1,0
"Cndp2",-1,0,1,0,-1,1
"Cnot4",-1,1,1,0,-1,0
"Cnp",0,1,-1,0,-1,1
"Coasy",1,-1,-1,0,1,0
"Colgalt1",-1,0,1,0,-1,1
"Colgalt2",-1,1,0,-1,1,0
"Comt",1,1,-1,0,-1,0
"Comtd1",0,-1,-1,1,1,0
"Cop1",-1,0,1,0,1,-1
"Copa",0,1,1,-1,-1,0
"Copb1",0,1,1,-1,-1,0
"Copb2",0,1,1,-1,-1,0
"Cope",0,1,-1,0,-1,1
"Copg1",-1,1,0,0,-1,1
"Copg2",0,1,1,-1,-1,0
"Coq2",0,0,-1,-1,1,1
"Coq3",1,-1,0,-1,1,0
"Coq5",1,-1,0,-1,1,0
"Coq6",1,-1,0,-1,1,0
"Coq7",1,-1,-1,0,1,0
"Cox10",1,0,-1,-1,1,0
"Cox4i1",1,-1,-1,0,1,0
"Cox4i2",-1,0,-1,1,0,1
"Cox5a",1,-1,-1,0,1,0
"Cox5b",1,-1,-1,0,1,0
"Cox6a1",1,-1,-1,0,1,0
"Cox6a2",1,0,-1,-1,1,0
"Cox6b1",1,-1,-1,0,1,0
"Cox6b2",-1,-1,0,1,1,0
"Cox6c",1,-1,-1,0,1,0
"Cox7a1",1,0,-1,-1,1,0
"Cox7a2",1,-1,-1,0,1,0
"Cox7b",1,-1,-1,0,1,0
"Cox7b2",-1,-1,-1,-1,-1,-1
"Cox7c",1,-1,-1,0,1,0
"Cox8a",1,-1,-1,0,1,0
